scenario_id,scenario_name,seed,N,M,K,L,echo_raw_objective,echo_energy,echo_feasible,echo_runtime_sec,echo_chosen_premium_band,echo_chosen_deductible_band,echo_selected_features_count,echo_selected_reg_features_count,echo_tau0,echo_num_stages,echo_best_stage,echo_steps_used,echo_final_condition_number,echo_final_negative_eigs,echo_final_roughness,sa_raw_objective,sa_energy,sa_feasible,sa_runtime_sec,greedy_raw_objective,greedy_energy,greedy_feasible,gurobi_ran,gurobi_raw_objective,gurobi_energy,gurobi_feasible,gurobi_status,gap_echo_to_sa,gap_echo_to_greedy,gap_echo_to_gurobi,echo_beats_sa,echo_ties_sa,echo_loses_sa,echo_beats_greedy,echo_ties_greedy,echo_beats_gurobi,echo_ties_gurobi,echo_loses_gurobi,w_onehot,w_reg,w_aff,sa_temperature_mode,sa_T0_used,sa_Tend_used,sa_auto_temperature
1,S1_cost_only,2000,300,4,5,5,21019.322417937427,-2883567092.217125,1,34.57262897491455,5,4,27,27,1000000.0,7,6,800000,35280676.165295936,52,296977126.2832211,142596.18039804153,-2883445515.359145,1,29.808597399969585,30166.80887221653,-2883557944.730671,1,0,,,0,not_run,-121576.8579801041,-9147.486454279104,,1,0,0,1,0,0,0,0,1975060.3503695491,3950120.7007390982,395012070.0739098,auto,24955900.649127588,24955.900649127587,1
1,S1_cost_only,2001,300,4,5,5,27079.22824663783,-2943986215.037393,1,34.41246485710144,5,3,27,27,1000000.0,7,6,800000,35978884.43433499,52,303200233.79539853,152375.77083331996,-2943860918.494806,1,30.845608000061475,32370.23936183554,-2943980924.026278,1,0,,,0,not_run,-125296.54258668213,-5291.011115197711,,1,0,0,1,0,0,0,0,2016447.4618257792,4032894.9236515583,403289492.3651558,auto,36911942.48144308,36911.94248144308,1
1,S1_cost_only,2002,300,4,5,5,29494.566470469363,-3009648628.0767574,1,34.51342296600342,5,4,27,27,1000000.0,7,6,800000,40249191.41517417,52,309962959.90110093,147458.8968429918,-3009530663.746384,1,30.118433200055733,32285.738747203257,-3009645836.9044805,1,0,,,0,not_run,-117964.33037252243,-2791.1722767338943,,1,0,0,1,0,0,0,0,2061423.3716734417,4122846.7433468834,412284674.33468837,auto,45867688.00895967,45867.68800895968,1
1,S1_cost_only,2003,300,4,5,5,23627.970412038823,-2837371887.3765326,1,35.007997035980225,5,2,27,27,1000000.0,7,6,800000,35944034.663208246,52,292219796.91309565,147301.62847385727,-2837248213.7184715,1,30.390793600003235,32750.067340117763,-2837362765.2796044,1,0,,,0,not_run,-123673.65806181845,-9122.09692807894,,1,0,0,1,0,0,0,0,1943421.5858540703,3886843.1717081405,388684317.17081404,auto,31416286.49903798,31416.286499037986,1
1,S1_cost_only,2004,300,4,5,5,26393.47707878137,-2886100932.855912,1,34.727248430252075,5,4,27,27,1000000.0,7,6,800000,38872996.74622183,52,297238627.1119073,147894.72221985468,-2885979431.610772,1,30.551227799966,37952.23491497237,-2886089374.0980773,1,0,,,0,not_run,-121501.2451410733,-11558.757836190998,,1,0,0,1,0,0,0,0,1976799.5385842416,3953599.0771684833,395359907.7168483,auto,47888970.678640015,47888.97067864001,1
1,S1_cost_only,2005,300,4,5,5,26881.319709975727,-2764811068.737012,1,34.62644553184509,5,3,27,27,1000000.0,7,6,800000,35652710.82230059,52,284747178.7878132,144297.88743385833,-2764693652.169288,1,30.821699700085446,27889.04376689568,-2764810061.0129547,1,0,,,0,not_run,-117416.5677238826,-1007.724056919953,,1,0,0,1,0,0,0,0,1893724.6233265232,3787449.2466530465,378744924.66530466,auto,21077979.95167511,21077.97995167511,1
1,S1_cost_only,2006,300,4,5,5,26945.846758684056,-2888826915.3321495,1,34.547566175460815,5,4,27,27,1000000.0,7,6,800000,37040006.99938538,52,297519434.2309304,145046.92723410475,-2888708814.2516747,1,30.665628800052215,29125.52326733338,-2888824735.6556416,1,0,,,0,not_run,-118101.08047542069,-2179.676508649325,,1,0,0,1,0,0,0,0,1978667.0282047307,3957334.0564094614,395733405.64094615,auto,27148321.169547644,27148.32116954765,1
1,S1_cost_only,2007,300,4,5,5,25378.903146743065,-2868964529.2232356,1,34.543397426605225,5,3,27,27,1000000.0,7,6,800000,37639712.47659322,52,295473677.5163543,151409.90925980752,-2868838498.217122,1,31.209153300034814,23696.37840222656,-2868966211.74798,1,0,,,0,not_run,-126031.00611306446,1682.5247445165041,,1,0,0,0,0,0,0,0,1965061.5809084813,3930123.1618169625,393012316.18169624,auto,24672254.391937185,24672.254391937186,1
1,S1_cost_only,2008,300,4,5,5,28212.470903251062,-2921720482.9334083,1,34.9255690574646,5,4,27,27,1000000.0,7,6,800000,40140500.64368929,52,300907228.96081084,152168.0016026114,-2921596527.4027085,1,30.77544399991166,30835.488445523544,-2921717859.915866,1,0,,,0,not_run,-123955.53069936033,-2623.0175422724824,,1,0,0,1,0,0,0,0,2001197.7365782969,4002395.4731565937,400239547.3156594,auto,45177931.86107344,45177.93186107343,1
1,S1_cost_only,2009,300,4,5,5,30021.47319338656,-2921277298.2588367,1,34.41496181488037,5,4,27,27,1000000.0,7,6,800000,39209751.59238037,52,300861759.9403766,143192.71209094592,-2921164127.0199394,1,31.026408200035803,31721.48273132081,-2921275598.249299,1,0,,,0,not_run,-113171.23889755936,-1700.0095379342529,,1,0,0,1,0,0,0,0,2000895.4244739923,4001790.8489479846,400179084.89479846,auto,61768516.432534695,61768.5164325347,1
2,S2_risk_adjusted,2000,300,4,5,5,8106331.801191594,-2875481779.7383513,1,35.08509302139282,5,2,27,27,1000000.0,8,7,800000,23712104.69068107,80,296952175.6913447,18264815.398057982,-2865323296.1414847,1,31.227498200023547,13016298.438480023,-2870571813.101063,1,0,,,0,not_run,-10158483.596866388,-4909966.637288429,,1,0,0,1,0,0,0,0,1975060.3503695491,3950120.7007390982,395012070.0739098,auto,35427993.26394374,35427.99326394374,1
2,S2_risk_adjusted,2001,300,4,5,5,10367090.465088354,-2933646203.800551,1,34.90923881530762,5,4,27,27,1000000.0,8,7,800000,31890162.13873116,85,303173204.0499143,23522320.157126896,-2920490974.108513,1,30.85458509996533,17789005.910334893,-2926224288.355305,1,0,,,0,not_run,-13155229.692038542,-7421915.445246538,,1,0,0,1,0,0,0,0,2016447.4618257792,4032894.9236515583,403289492.3651558,auto,43666101.34301335,43666.10134301335,1
2,S2_risk_adjusted,2002,300,4,5,5,9614813.9710193,-3000063308.672208,1,34.804444551467896,5,1,27,27,1000000.0,8,7,800000,7968913.79830035,90,309924482.3461774,29494685.622168586,-2980183437.0210586,1,31.368491899920627,18858998.70069458,-2990819123.9425325,1,0,,,0,not_run,-19879871.651149288,-9244184.72967528,,1,0,0,1,0,0,0,0,2061423.3716734417,4122846.7433468834,412284674.33468837,auto,57750256.521615855,57750.256521615855,1
2,S2_risk_adjusted,2003,300,4,5,5,8360459.392088258,-2829035055.9548564,1,35.29155087471008,5,3,27,27,1000000.0,8,7,800000,22890373.518399376,92,292186446.0572076,20706940.648155432,-2816688574.6987896,1,31.4907318999758,14697514.51866591,-2822698000.828279,1,0,,,0,not_run,-12346481.256067175,-6337055.126577652,,1,0,0,1,0,0,0,0,1943421.5858540703,3886843.1717081405,388684317.17081404,auto,38737717.95254371,38737.71795254372,1
2,S2_risk_adjusted,2004,300,4,5,5,10599738.0961151,-2875527588.236877,1,34.7730188369751,5,1,27,27,1000000.0,8,7,800000,17563758.04096784,84,297210711.68414086,25495360.703082778,-2860631965.6299086,1,31.54421610001009,19916985.711543072,-2866210340.62145,1,0,,,0,not_run,-14895622.606967678,-9317247.615427973,,1,0,0,1,0,0,0,0,1976799.5385842416,3953599.0771684833,395359907.7168483,auto,58768164.29066267,58768.16429066267,1
2,S2_risk_adjusted,2005,300,4,5,5,8449849.859138932,-2756388100.1975822,1,35.10416769981384,5,2,27,27,1000000.0,8,7,800000,27519389.171989296,93,284710173.27721477,18108068.350763425,-2746729881.7059584,1,31.56747569993604,13413680.062619334,-2751424269.9941025,1,0,,,0,not_run,-9658218.491624493,-4963830.203480402,,1,0,0,1,0,0,0,0,1893724.6233265232,3787449.2466530465,378744924.66530466,auto,28716947.710796524,28716.947710796525,1
2,S2_risk_adjusted,2006,300,4,5,5,4932390.84081173,-2883921470.3380966,1,35.42923617362976,5,3,27,27,1000000.0,8,7,800000,9786793.124971265,87,297494991.0286164,20165057.46435427,-2868688803.7145543,1,31.678042099927552,10998229.734890312,-2877855631.4440184,1,0,,,0,not_run,-15232666.62354254,-6065838.894078582,,1,0,0,1,0,0,0,0,1978667.0282047307,3957334.0564094614,395733405.64094615,auto,39919717.80072031,39919.71780072031,1
2,S2_risk_adjusted,2007,300,4,5,5,6730793.371547782,-2862259114.7548347,1,34.733745098114014,5,3,27,27,1000000.0,8,7,800000,12033528.713947892,89,295449369.0240794,17351219.360839553,-2851638688.7655425,1,31.50120400008745,8187932.216176051,-2860801975.910206,1,0,,,0,not_run,-10620425.989291772,-1457138.8446282689,,1,0,0,1,0,0,0,0,1965061.5809084813,3930123.1618169625,393012316.18169624,auto,34277481.07355523,34277.48107355523,1
2,S2_risk_adjusted,2008,300,4,5,5,8630688.084788458,-2913118007.3195233,1,35.104543685913086,5,3,27,27,1000000.0,8,7,800000,15543678.1990968,88,300871615.7505921,21363567.09096044,-2900385128.313351,1,31.59290729998611,11891072.06391794,-2909857623.3403945,1,0,,,0,not_run,-12732879.00617198,-3260383.979129482,,1,0,0,1,0,0,0,0,2001197.7365782969,4002395.4731565937,400239547.3156594,auto,51746365.049229175,51746.36504922918,1
2,S2_risk_adjusted,2009,300,4,5,5,8283483.186353586,-2913023836.545676,1,35.601909160614014,5,3,27,27,1000000.0,8,7,800000,25726378.783295322,88,300821648.8444739,28559273.41047035,-2892748046.32156,1,31.74138090002816,13187891.29633462,-2908119428.435696,1,0,,,0,not_run,-20275790.224116765,-4904408.109981035,,1,0,0,1,0,0,0,0,2000895.4244739923,4001790.8489479846,400179084.89479846,auto,68758214.7688422,68758.21476884221,1
3,S3_tight_regulation,2000,300,4,5,6,39440.453742593236,-6012044266.071172,1,34.98811459541321,5,3,39,39,1000000.0,7,6,800000,111921989.83214115,52,900670211.46684,173190.56733434962,-6011910515.95758,1,31.94232369994279,41259.25513230137,-6012042447.269782,1,0,,,0,not_run,-133750.11359175638,-1818.8013897081328,,1,0,0,1,0,0,0,0,1975060.3503695491,3950120.7007390982,395012070.0739098,auto,138699530.86390743,138699.53086390742,1
3,S3_tight_regulation,2001,300,4,5,6,42527.98925375802,-6138023545.808423,1,35.177053689956665,5,3,39,39,1000000.0,7,6,800000,114136937.86854067,52,919543625.8378599,165953.93029116612,-6137900119.867385,1,32.026218999992125,45850.36536590105,-6138020223.43231,1,0,,,0,not_run,-123425.9410374081,-3322.376112143029,,1,0,0,1,0,0,0,0,2016447.4618257792,4032894.9236515583,403289492.3651558,auto,140658234.2204385,140658.23422043852,1
3,S3_tight_regulation,2002,300,4,5,6,48605.71095291846,-6274924137.663012,1,35.28259325027466,5,1,39,39,1000000.0,7,6,800000,127683765.94502674,52,940053607.0069858,178013.82481079566,-6274794729.549152,1,31.54026480007451,51949.83144148181,-6274920793.542521,1,0,,,0,not_run,-129408.11385787721,-3344.1204885633488,,1,0,0,1,0,0,0,0,2061423.3716734417,4122846.7433468834,412284674.33468837,auto,126891908.9871942,126891.9089871942,1
3,S3_tight_regulation,2003,300,4,5,6,44153.79933902002,-5915731153.540454,1,35.35973310470581,5,4,39,39,1000000.0,7,6,800000,114026382.82548602,52,886242245.3612661,173053.6575351198,-5915602253.682259,1,32.54812890000176,44260.468972385526,-5915731046.870822,1,0,,,0,not_run,-128899.85819609978,-106.66963336550543,,1,0,0,1,0,0,0,0,1943421.5858540703,3886843.1717081405,388684317.17081404,auto,229382797.42593804,229382.79742593804,1
3,S3_tight_regulation,2004,300,4,5,6,43255.709470361784,-6017334539.740958,1,35.24970769882202,5,3,39,39,1000000.0,7,6,800000,123318020.67110921,52,901463314.2429267,174229.79932226098,-6017203565.651107,1,32.13124000001699,47585.68065670219,-6017330209.769773,1,0,,,0,not_run,-130974.08985189919,-4329.971186340408,,1,0,0,1,0,0,0,0,1976799.5385842416,3953599.0771684833,395359907.7168483,auto,65917309.1754078,65917.3091754078,1
3,S3_tight_regulation,2005,300,4,5,6,45357.298806671235,-5764452396.107127,1,35.466472864151,5,4,39,39,1000000.0,7,6,800000,113102207.1236714,52,863579353.6819131,165219.17251325026,-5764332534.23342,1,31.75694900006056,45004.87000313847,-5764452748.535931,1,0,,,0,not_run,-119861.87370657903,352.4288035327627,,1,0,0,0,0,0,0,0,1893724.6233265232,3787449.2466530465,378744924.66530466,auto,73704694.36248003,73704.69436248003,1
3,S3_tight_regulation,2006,300,4,5,6,38989.623750788756,-6023023444.231456,1,34.84794878959656,5,2,39,39,1000000.0,7,6,800000,117503170.10512494,52,902314932.1252542,166451.1302379465,-6022895982.724968,1,32.05987080000341,42439.23447427296,-6023019994.620732,1,0,,,0,not_run,-127461.50648715773,-3449.6107234842057,,1,0,0,1,0,0,0,0,1978667.0282047307,3957334.0564094614,395733405.64094615,auto,63140043.96123143,63140.04396123143,1
3,S3_tight_regulation,2007,300,4,5,6,36623.12258480539,-5981610829.162835,1,35.38822650909424,5,1,39,39,1000000.0,7,6,800000,119405634.52096009,52,896110557.3832171,169781.41839232936,-5981477670.867028,1,32.107009100029245,42413.75193343205,-5981605038.533486,1,0,,,0,not_run,-133158.29580752397,-5790.629348626666,,1,0,0,1,0,0,0,0,1965061.5809084813,3930123.1618169625,393012316.18169624,auto,129537830.7185539,129537.8307185539,1
3,S3_tight_regulation,2008,300,4,5,6,39964.99963488103,-6091605945.144697,1,35.00766706466675,5,2,39,39,1000000.0,7,6,800000,127338962.84176423,52,912589420.6948158,173026.8618849685,-6091472883.282445,1,31.74033840000629,40734.51706511604,-6091605175.627266,1,0,,,0,not_run,-133061.86225008746,-769.517430235006,,1,0,0,1,0,0,0,0,2001197.7365782969,4002395.4731565937,400239547.3156594,auto,66250557.630257785,66250.55763025778,1
3,S3_tight_regulation,2009,300,4,5,6,48092.34782805856,-6090677579.751012,1,35.23269462585449,5,4,39,39,1000000.0,7,6,800000,124386318.66911164,52,912451553.9706877,172173.3942140766,-6090553498.704625,1,32.03888779995032,51985.42287594467,-6090673686.675964,1,0,,,0,not_run,-124081.04638601805,-3893.075047886108,,1,0,0,1,0,0,0,0,2000895.4244739923,4001790.8489479846,400179084.89479846,auto,51353851.79719732,51353.85179719732,1
4,S4_affordability,2000,300,4,5,5,22582.17766756787,-2883565529.3618755,1,35.61844038963318,3,4,27,27,1000000.0,7,6,800000,35280676.21845976,50,298658142.9812898,151055.37574212367,-2883437056.1638,1,32.20240039995406,30166.80887221653,-2883557944.730671,1,0,,,0,not_run,-128473.1980745558,-7584.63120464866,,1,0,0,1,0,0,0,0,1975060.3503695491,3950120.7007390982,395012070.0739098,auto,26930960.999497134,26930.96099949714,1
4,S4_affordability,2001,300,4,5,5,28376.061529511684,-2943984918.20411,1,34.36897945404053,3,4,27,27,1000000.0,7,6,800000,35978884.42927586,50,304916476.3282586,150669.96743718052,-2943862624.298202,1,31.75036960002035,32370.23936183554,-2943980924.026278,1,0,,,0,not_run,-122293.90590766883,-3994.1778323238577,,1,0,0,1,0,0,0,0,2016447.4618257792,4032894.9236515583,403289492.3651558,auto,38928389.94326884,38928.389943268834,1
4,S4_affordability,2002,300,4,5,5,30291.93509176923,-3009647830.7081356,1,34.7136754989624,3,4,27,27,1000000.0,7,6,800000,40249191.4251733,50,311717482.83506423,154703.03353492828,-3009523419.6096926,1,31.568787300027907,32285.738747203257,-3009645836.9044805,1,0,,,0,not_run,-124411.09844315905,-1993.8036554340251,,1,0,0,1,0,0,0,0,2061423.3716734417,4122846.7433468834,412284674.33468837,auto,47929111.38063309,47929.1113806331,1
4,S4_affordability,2003,300,4,5,5,27386.48983028559,-2837368128.8571143,1,34.75569677352905,3,3,27,27,1000000.0,7,6,800000,35944034.66048106,50,293873884.9857638,141606.08873825072,-2837253909.258207,1,31.6231945999898,32750.067340117763,-2837362765.2796044,1,0,,,0,not_run,-114219.59890796513,-5363.577509832172,,1,0,0,1,0,0,0,0,1943421.5858540703,3886843.1717081405,388684317.17081404,auto,33359708.084892053,33359.70808489205,1
4,S4_affordability,2004,300,4,5,5,26498.198871986668,-2886100828.1341195,1,34.556418657302856,3,3,27,27,1000000.0,7,6,800000,38872996.75623921,50,298921124.1394077,153055.70764069224,-2885974270.625351,1,32.04826650000177,37952.23491497237,-2886089374.0980773,1,0,,,0,not_run,-126557.50876870558,-11454.0360429857,,1,0,0,1,0,0,0,0,1976799.5385842416,3953599.0771684833,395359907.7168483,auto,51842569.7558085,51842.5697558085,1
4,S4_affordability,2005,300,4,5,5,29146.367266324825,-2764808803.689455,1,34.95172071456909,3,3,27,27,1000000.0,7,6,800000,35652710.82099001,50,286358968.3308254,128608.53431511352,-2764709341.5224066,1,31.882630400010385,27889.04376689568,-2764810061.0129547,1,0,,,0,not_run,-99462.16704878869,1257.3234994291452,,1,0,0,0,0,0,0,0,1893724.6233265232,3787449.2466530465,378744924.66530466,auto,24865429.19832816,24865.42919832816,1
4,S4_affordability,2006,300,4,5,5,25889.434222885993,-2888827971.7446856,1,34.65303707122803,3,2,27,27,1000000.0,7,6,800000,37040006.96243426,50,299203520.7077615,144024.69031015335,-2888709836.4885983,1,32.54855259996839,29125.52326733338,-2888824735.6556416,1,0,,,0,not_run,-118135.25608726736,-3236.089044447388,,1,0,0,1,0,0,0,0,1978667.0282047307,3957334.0564094614,395733405.64094615,auto,27148321.169547625,27148.321169547624,1
4,S4_affordability,2007,300,4,5,5,26999.594288727178,-2868962908.5320935,1,35.37146496772766,3,4,27,27,1000000.0,7,6,800000,37639712.4809935,50,297146183.9541772,150045.00679433718,-2868839863.1195874,1,31.4078240999952,23696.37840222656,-2868966211.74798,1,0,,,0,not_run,-123045.41250561,3303.2158865006168,,1,0,0,0,0,0,0,0,1965061.5809084813,3930123.1618169625,393012316.18169624,auto,24672254.39193718,24672.254391937186,1
4,S4_affordability,2008,300,4,5,5,30479.29134375497,-2921718216.112967,1,34.85009431838989,3,2,27,27,1000000.0,7,6,800000,40140500.670856826,50,302610492.00938696,150672.88239737664,-2921598022.521913,1,31.15078969998285,30835.488445523544,-2921717859.915866,1,0,,,0,not_run,-120193.59105362167,-356.1971017685755,,1,0,0,1,0,0,0,0,2001197.7365782969,4002395.4731565937,400239547.3156594,auto,49180327.33423002,49180.32733423002,1
4,S4_affordability,2009,300,4,5,5,29460.641205217307,-2921277859.090825,1,34.74876666069031,3,4,27,27,1000000.0,7,6,800000,39209751.57919635,50,302564765.7513388,151684.03511149398,-2921155635.6969185,1,31.86082509998232,31721.48273132081,-2921275598.249299,1,0,,,0,not_run,-122223.39390627667,-2260.8415261035043,,1,0,0,1,0,0,0,0,2000895.4244739923,4001790.8489479846,400179084.89479846,auto,63769411.85700869,63769.41185700869,1
